"X","Y"
143.565036237372,-16.192054375188
127.829984366366,-23.613648644856
143.745140388319,-16.4043578122396
129.302374569849,-26.4997059274543
151.4526356639,-28.7515498609693
142.153859166488,-7.68221991649816
133.292875355121,-17.7114632476009
139.843448205664,-3.83860258011234
130.624911696305,-24.1541556580234
138.154917831447,-3.66313474989957
119.006355705128,-24.134115114511
143.639129299206,-34.676757557807
117.857992065863,-28.4184275379639
120.220149687036,-29.9456468362507
146.123814078363,-8.14864247344683
119.578411097186,-30.5789622874835
118.081021851481,-34.5520106313782
141.240433905701,-5.83406954410738
119.142413371195,-24.6746083596377
125.159231257782,-30.8780645525735
116.748578755699,-23.2954609397818
150.112791352531,-25.2439062277637
135.458556915313,-13.446083089987
140.567676531004,-29.1222030461596
123.876588140615,-16.1740654967239
122.700660367262,-29.9178919016783
120.611456217525,-23.2377023495984
126.734512998466,-14.6298492637678
129.652537866171,-21.5752286618472
149.169029889839,-34.1717901305179
130.637024195435,-23.7536385193723
143.514095818751,-37.9942315092498
130.438972128889,-17.1554056145871
142.469133719607,-24.7851717238632
131.574618289959,-26.6044226677052
122.549666027128,-24.8311615513848
129.041652801901,-16.4400840995042
143.99503173826,-17.4250564537202
116.488055897315,-21.9744831544608
114.500860785187,-25.2559860651221
124.264654307368,-29.5457838431008
138.958154001725,-3.08970129168477
144.965700316641,-16.5067103249496
140.025795722595,-27.5735319869586
130.948187302117,-12.9495309501154
122.266323280962,-32.9190481681602
146.697771423891,-5.91749807032368
120.690631151919,-30.5966484117829
119.755394824703,-22.0326636555908
125.554039191153,-30.3387370183278
135.248273571353,-29.0152792186921
135.622404738939,-23.0652564042364
136.903410515007,-25.3712228630771
130.612270998887,-14.6570051536893
124.154027172313,-18.1267900343641
143.191548308512,-31.8927958871596
139.870016339406,-22.81985362448
153.15495483522,-30.8826818373871
126.473718797651,-23.1917891428002
130.389892469964,-17.4712236448839
141.165980470984,-23.2632282022811
144.041258220049,-25.7401772355499
144.833012386384,-35.7292987611311
117.331308990035,-23.5087006512704
139.03794953473,-25.3515423481504
139.274854572082,-2.92246275232915
118.31807747754,-31.7805235508936
142.833024651803,-14.9060840596428
129.092152367751,-30.2990278622793
125.0989953782,-15.8964756541143
148.853873931015,-20.895535140924
143.061644434293,-30.8107072930795
123.307474462285,-33.7689489363764
132.465684657496,-21.0454954626237
121.312870184385,-24.8235143360137
142.047624300486,-7.06985449728126
136.85128910172,-20.0007066438035
136.321256141336,-21.3361577311994
116.64248201569,-30.3000500912267
136.675270145139,-14.104501919147
142.807151021439,-6.96376569449162
